"colID", "colValue"
"dna", 2933
"bell", 3026
"bela", 0
"beld", 0
"aeon", 0
"woa", 0
"wob", 0
"jaob", 0
"ella", 0
"elle", 0
"dee", 9475
"ande", 0
"ned", 0
"loed", 0
"odal", 0
"lewd", 0
"neal", 0
"doll", 5331
"dola", 0
"den", 4850
"wale", 0
"anew", 0
"wold", 0
"wean", 0
"edo", 0
"jobe", 0
"blad", 0
"edna", 0
"bawd", 0
"bawn", 0
"olla", 0
"jaw", 0
"jan", 154
"jad", 0
"jab", 0
"web", 73
"wea", 0
"wed", 1203
"wen", 0
"nol", 0
"nod", 0
"noa", 0
"nob", 0
"now", 75
"leed", 0
"eel", 0
"een", 0
"alew", 0
"alen", 0
"alee", 0
"bdle", 0
"blew", 0
"blee", 0
"bled", 0
"blea", 0
"bleo", 0
"lea", 0
"led", 1731
"lee", 1831
"len", 8252
"leo", 7216
"lew", 0
"wone", 0
"leon", 8881
"lade", 0
"wabe", 0
"deja", 0
"lene", 0
"wene", 0
"bean", 6711
"lowa", 0
"lown", 0
"bael", 0
"noll", 0
"nold", 0
"jeel", 0
"jeed", 0
"doab", 0
"load", 2118
"lowe", 0
"eole", 0
"need", 182
"bola", 0
"bold", 3903
"boll", 0
"abd", 0
"abe", 0
"abl", 0
"abn", 0
"abo", 0
"leal", 0
"ona", 0
"owd", 0
"bawl", 0
"lobe", 0
"band", 1169
"abed", 0
"abel", 0
"nejd", 0
"laen", 0
"nale", 0
"joan", 7035
"jed", 0
"jen", 0
"awee", 0
"obl", 0
"obj", 8272
"obe", 0
"oba", 0
"jawn", 0
"lwo", 0
"lwl", 0
"bone", 4010
"bond", 3233
"end", 316
"enl", 0
"enol", 0
"nell", 0
"loan", 912
"awn", 0
"awe", 0
"awd", 0
"lena", 0
"lend", 0
"leno", 0
"oban", 0
"lawn", 5873
"noel", 0
"ban", 5368
"dobl", 0
"jean", 3293
"adon", 0
"bole", 0
"dawe", 0
"aloe", 0
"alow", 0
"dele", 0
"dbl", 0
"joll", 0
"jole", 0
"oad", 0
"ell", 0
"elb", 0
"ela", 0
"eld", 0
"bld", 0
"woan", 0
"woad", 0
"wade", 0
"alle", 0
"allo", 0
"bene", 0
"eben", 0
"wend", 0
"ewe", 0
"dae", 0
"dal", 0
"dan", 2771
"daw", 0
"enew", 0
"ajee", 0
"wane", 0
"down", 310
"dowl", 0
"bow", 6266
"bol", 0
"bon", 8236
"boa", 0
"bod", 0
"boe", 0
"weal", 0
"lone", 9719
"lond", 0
"dawn", 5275
"lalo", 0
"olea", 0
"awl", 0
"enb", 9126
"ean", 0
"alod", 0
"ende", 0
"weld", 0
"well", 157
"dona", 0
"done", 772
"dao", 0
"jew", 0
"aln", 0
"alo", 0
"all", 25
"ald", 0
"ale", 0
"alb", 0
"alw", 0
"awol", 0
"ode", 0
"oda", 0
"eon", 0
"baw", 0
"bad", 837
"bae", 0
"bal", 0
"ened", 0
"blow", 2519
"lola", 0
"lane", 3067
"land", 770
"leda", 0
"lede", 0
"dale", 6300
"dobe", 0
"won", 2621
"woe", 0
"wod", 0
"neo", 7672
"nee", 0
"neb", 0
"nea", 0
"new", 27
"dole", 0
"dew", 0
"del", 2100
"dea", 0
"deb", 0
"jowl", 0
"been", 85
"and", 3
"ane", 0
"jade", 9604
"bane", 0
"lob", 0
"loa", 0
"lod", 0
"lol", 4281
"low", 401
"wode", 0
"nael", 0
"owed", 0
"don", 2957
"dol", 0
"aob", 0
"aol", 3071
"bald", 8876
"eoan", 0
"bowe", 0
"bowl", 3392
"bown", 0
"wand", 0
"jeon", 0
"dean", 3222
"deal", 1270
"jow", 0
"job", 428
"joe", 2131
"jon", 4257
"jell", 0
"owen", 8740
"bale", 0
"wee", 0
"llew", 0
"ben", 3066
"bel", 0
"bea", 0
"bed", 1256
"bee", 6804
"bede", 0
"ebon", 0
"eboe", 0
"owl", 0
"own", 293
"owe", 0
"debe", 0
"albe", 0
"jnd", 0
"blo", 0
"blae", 0
"node", 3376
"llb", 0
"bde", 0
"bdl", 0
"wall", 1368
"odel", 0
"odea", 0
"nab", 0
"nad", 0
"nae", 0
"naw", 0
"able", 724
"joel", 6195
"bode", 0
"beal", 0
"bead", 0
"lead", 1172
"lean", 8426
"aden", 0
"one", 45
"elan", 0
"ween", 0
"weed", 8768
"jee", 0
"bona", 0
"loe", 0
"dell", 2709
"bena", 0
"bend", 6431
"benj", 0
"beno", 0
"awed", 0
"enow", 0
"elne", 0
"lbw", 0
"dab", 0
"wan", 9592
"wal", 7252
"wae", 0
"wad", 0
"wab", 0
"wede", 0
"ead", 0
"dob", 0
"doa", 0
"doe", 7244
"dow", 9032
"bade", 0
"ade", 0
"ado", 0
"adj", 0
"eden", 8978
"edea", 0
"beja", 0
"ola", 0
"old", 370
"ole", 0
"jane", 3602
"elod", 0
"elon", 0
"blaw", 0
"blan", 0
"lan", 4733
"lao", 0
"lad", 0
"lab", 2247
"law", 331
"weel", 0
"lode", 0
"ball", 1875
"nba", 4368
"dane", 0
"abow", 0
"dene", 0
"lawyer", 2604
"yawler", 0
"becalm", 0
"gland", 0
"warely", 0
"joram", 0
"jarmo", 0
"major", 637
